course_num,course_name,total_over_80,total_sub_70,total_rounds,scoring_average,other_over_80,other_sub_70,course_factor,course_factor_star
697,Ocean Course at Kiawah Island,39,30,472,74.37711864406779,1548,60010,5039.599483204134,3.7024821905655583
618,Shinnecock Hills GC,45,36,446,74.65022421524664,1542,60004,4864.13748378729,3.687095117493685
608,Oakmont Country Club,52,88,887,73.87034949267193,1535,59952,2307.894580989044,3.3634041044460186
891,Winged Foot GC,19,32,409,74.0,1568,60008,2272.3054846938776,3.3566577997383447
709,Royal Troon,65,171,1399,73.409578270193,1522,59869,1495.2182800408816,3.1749949564308513
236,Erin Hills,17,57,447,73.20357941834452,1570,59983,1139.469214437367,3.0570835665259284
241,Quail Hollow-PGA Championship,39,143,918,72.98692810457516,1548,59897,1055.2677942212827,3.023774038281553
528,Pinehurst Resort (No. 2),29,108,906,72.9823399558499,1558,59932,1032.917320401274,3.014485810780013
724,Royal Liverpool,19,73,464,72.74568965517241,1568,59967,995.3985532569192,2.998433088281377
14,Augusta National Golf Club,82,354,2616,73.0045871559633,1505,59686,918.6425662105601,2.9636190646443605
744,Torrey Pines (South),11,48,453,73.45033112582782,1576,59992,872.345600676819,2.9411861369079064
9,Bay Hill Club & Lodge,93,437,3203,72.91445519825164,1494,59603,849.0221756591584,2.9294302558799146
23,Muirfield Village Golf Club,94,484,3198,72.9296435272045,1493,59556,774.7261324196111,2.8897084220674545
4,Torrey Pines Golf Course (South Course),72,391,2774,72.7956020187455,1515,59649,725.0138006127979,2.8609448761725726
658,Carnoustie GC,14,74,469,72.55863539445629,1573,59966,721.228157591794,2.8586744163095226
514,Oak Hill Country Club,14,78,464,72.72198275862068,1573,59962,684.1964562244282,2.8358151081665666
766,Sheshan International GC,28,195,928,72.32112068965517,1559,59845,551.1948816631306,2.742092376812913
666,Pebble Beach Golf Links,11,81,470,72.3531914893617,1576,59959,516.6611831797957,2.7140456006340674
235,Eagle Point Golf Club,6,46,461,72.82429501084599,1581,59994,494.9591617853312,2.695445917334025
880,Bethpage Black,10,88,475,72.54315789473684,1577,59952,432.00553409811494,2.6364934469605585
654,The Country Club,9,81,440,72.50681818181818,1578,59959,422.1870159132516,2.626532334349123
11,TPC Sawgrass,80,765,3629,72.16092587489666,1507,59275,411.32666293679597,2.61524141918632
770,TPC San Antonio - AT&T Oaks,55,618,3546,72.2351945854484,1532,59422,345.19358327629766,2.5393190139335924
611,Southern Hills Country Club,7,84,469,72.45842217484008,1580,59956,316.2236286919831,2.5013655286719
242,Club at Nine Bridges,20,245,930,71.65913978494623,1567,59795,311.50124376489583,2.4948517501893934
893,Muirfield Village Golf Club,9,111,442,71.8529411764706,1578,59929,307.92827047579897,2.4898576530403544
927,Sawgrass Country Club,12,166,634,71.88801261829653,1575,59874,274.80895008605853,2.440608355059266
541,Royal Birkdale GC,8,115,466,71.8519313304721,1579,59925,264.0085910179805,2.4232599530735097
872,Quail Hollow Club,29,452,2107,71.83720930232558,1558,59588,245.3866427346155,2.3916171598889364
671,Valhalla GC,20,324,918,71.05010893246187,1567,59716,235.23757750518013,2.3733489805133754
898,The Concession Golf Club,5,83,285,71.62105263157895,1582,59957,228.31020669276344,2.360423385788348
885,Royal Portrush Golf Club,13,221,910,71.84615384615384,1574,59819,223.55557216533373,2.3513238361995876
205,Spyglass Hill Golf Course,14,263,1239,72.06941081517353,1573,59777,202.29152113009698,2.3081192654889895
668,St. Andrews Links (Old Course),7,139,478,71.61924686192468,1580,59901,190.92386850013662,2.283128988874584
908,Oakdale Golf & Country Club,5,109,460,71.76521739130435,1582,59931,173.7755019195305,2.242480558007851
902,Congaree Golf Club,11,246,752,71.2127659574468,1576,59794,169.6519953778218,2.2321113707073086
895,TPC Harding Park,7,161,469,70.7547974413646,1580,59879,164.77435332966428,2.219517342444965
939,Torrey Pines Golf Course (South Course),2,48,252,72.21428571428571,1585,59992,157.70767613038905,2.200597932554781
5,Pebble Beach GL,23,586,2017,71.35101636093208,1564,59454,149.20196747641037,2.1766756214734224
729,GC of Houston,13,357,1326,71.52036199095022,1574,59683,138.0769080186077,2.1432550268100146
734,PGA National (Champion),32,897,3020,71.22384105960265,1555,59143,135.68457917961624,2.1357195200179007
244,Corales Golf Club,29,887,3224,71.30303970223325,1558,59153,124.13198489666021,2.0973683335835527
878,Shadow Creek Golf Course,3,95,311,71.32797427652733,1584,59945,119.50757575757575,2.0810143498676688
772,St. George's G&CC,5,161,447,70.77852348993288,1582,59879,117.54717277445799,2.073891200970526
237,TPC Potomac at Avenel Farm,11,398,1208,70.96274834437088,1576,59642,104.59371731755225,2.0236380790359654
889,Sea Island GC (Plantation),9,347,926,70.57451403887688,1578,59693,98.1136520529032,1.9961334789342018
765,Port Royal Golf Course,30,1163,2378,69.9259882253995,1557,58877,97.54355969297396,1.9936282462593005
665,Innisbrook Resort (Copperhead Course),22,873,3521,71.48423743254757,1565,59167,95.27383448795787,1.9835082696628556
926,Silverado Resort (North Course),6,245,863,71.19582850521437,1581,59795,92.62285559385045,1.9713818834239631
104,Torrey Pines Golf Course (North Course),12,510,1390,70.60215827338129,1575,59530,88.93370681605975,1.9539224941872055
934,Hurstbourne Country Club,3,135,447,71.1185682326622,1584,59905,84.04180695847363,1.9296324794521744
552,Silverado Resort and Spa (North Course),16,759,2672,71.14071856287426,1571,59281,79.54585290538574,1.9060431846475763
43,The Los Angeles Country Club (North Course),2,103,442,71.77601809954751,1585,59937,73.42746010841934,1.8717331986275119
742,Grand Reserve Golf Club,17,895,2783,70.95831836148042,1570,59145,71.55570579653418,1.860671571129537
19,TPC Four Seasons Resort,3,162,460,70.81739130434782,1584,59878,70.0032734754957,1.8512783715299568
890,Tahoe Mt. Club (Old Greenwood),12,664,1688,70.45793838862559,1575,59376,68.13080895008605,1.8396716389090926
896,Olympia Fields CC (North),3,167,473,70.79492600422833,1584,59873,67.90169660678642,1.8382299159264002
778,Royal St. George's GC,3,169,465,70.52688172043011,1584,59871,67.09588488434642,1.8331208677715203
240,Club de Golf Chapultepec,7,408,1135,70.70484581497797,1580,59632,64.753040456689,1.8179158396413813
922,Dye's Valley Course,4,235,637,70.69544740973312,1583,59805,64.30558729049342,1.81495033940103
746,CC of Jackson,19,1141,3386,70.7206142941524,1568,58899,62.55036085424529,1.80311802092563
238,Glen Oaks Club,2,122,379,70.99472295514512,1585,59918,61.97238454775819,1.7991501388527333
231,Sea Island GC (Plantation),2,124,310,70.49354838709678,1585,59916,60.970794749160476,1.7921870658279369
500,Riviera CC,13,929,3070,71.07589576547231,1574,59111,52.552238132297845,1.7287776262079237
897,Memorial Park Golf Course,12,887,2082,70.26609029779058,1575,59153,50.810543834219146,1.7144181509236947
883,TPC Twin Cities,20,1475,3197,70.03190491085392,1567,58565,50.6765599818286,1.7132935957255293
704,Pete Dye Stadium Course,10,798,2119,70.51250589900897,1577,59242,47.07552012561524,1.6819239915368858
12,Harbour Town Golf Links,17,1457,3471,70.25180063382311,1570,58583,43.537283223096054,1.6487237215169768
935,TPC Toronto at Osprey Valley (North Course),3,280,444,68.74549549549549,1584,59760,40.422077922077925,1.6172318813139972
233,Nicklaus Tournament Course,8,766,1398,69.41845493562232,1579,59274,39.20516835687722,1.6042818850395852
